"sequence","species_id","species_name","pdb","prophage","modeller","uniprot","Identity","Coverage1","Coverage2","rank","kegg_hit","EC.x","uniref_hit","uniref_identity","uniref_bitScore","uniref_eVal","cazy_hits","kofam","refseq","swissprot","evalue","score","COG_category","Description","EC.y"
"SpeciesTaxid_1680.NC_008618.1_877","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_877.pdb.gz","NO","NO","A0A3D1TNF0","100","99.2","100","C","",NA,"UniRef90_A7A5L8 GtrA domain-containing protein n=23 Tax=Bifidobacterium TaxID=1678 RepID=A7A5L8_BIFAD",0.958,266,3.74e-79,"0",NA,"multispecies: gtra family protein",NA,3.25e-91,266,"S","Psort location CytoplasmicMembrane, score","-"
"SpeciesTaxid_1680.NC_008618.1_878","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_878.pdb.gz","NO","NO","A0A087B9G2","100","97.6","100","C","",NA,"UniRef90_A0A173WHE8 Uncharacterized protein n=7 Tax=Bifidobacterium TaxID=1678 RepID=A0A173WHE8_BIFAD",0.954,85,6.98e-18,"0",NA,NA,NA,1.13e-21,84.7,"-","-","-"
"SpeciesTaxid_1680.NC_008618.1_879","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_879.pdb.gz","NO","NO","A0A076JMP6","100","99.2","100","C","",NA,"UniRef90_R5GZM2 Cupin_2 domain-containing protein n=24 Tax=Bifidobacterium TaxID=1678 RepID=R5GZM2_9BIFI",0.947,243,2.86e-71,"0",NA,"multispecies: cupin domain-containing protein",NA,1.05e-80,239,"S","Cupin 2, conserved barrel domain protein","-"
"SpeciesTaxid_1680.NC_008618.1_880","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_880.pdb.gz","NO","NO","A1A1P6","100","99.7","100","B","",NA,"UniRef90_B6XTL6 VanZ-like protein n=34 Tax=Bifidobacterium TaxID=1678 RepID=B6XTL6_9BIFI",0.944,667,4.26e-214,"0",NA,"vanz family protein",NA,5.75e-241,662,"V","VanZ like family","-"
"SpeciesTaxid_1680.NC_008618.1_881","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_881.pdb.gz","NO","NO","A0A173YFL6","100","99.4","100","C","",NA,"UniRef90_A0A087DSA4 Uncharacterized protein n=34 Tax=Bifidobacterium TaxID=1678 RepID=A0A087DSA4_BIFAD",0.93,318,1.81e-96,"0",NA,"multispecies: hypothetical protein",NA,7.08e-110,316,"-","-","-"
"SpeciesTaxid_1680.NC_008618.1_882","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_882.pdb.gz","NO","NO","A0A1X2ZFT9","99.7","92.7","97.7","B","",NA,"UniRef90_A0A087D2Y9 ABC transporter, ATP-binding protein n=31 Tax=Bifidobacterium TaxID=1678 RepID=A0A087D2Y9_BIFRU",0.962,551,3.43e-174,"0","ATP-dependent DNA helicase [EC:5.6.2.3]",NA,NA,6.7e-190,541,"S","ATPases associated with a variety of cellular activities","-"
"SpeciesTaxid_1680.NC_008618.1_883","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_883.pdb.gz","NO","NO","A0A1V8QC88","100","98.9","100","C","",NA,"UniRef90_R5GL89 AAA domain-containing protein n=20 Tax=Bifidobacterium TaxID=1678 RepID=R5GL89_9BIFI",0.976,183,3.04e-51,"0",NA,"aaa family atpase",NA,2.26e-56,180,"S","AAA domain, putative AbiEii toxin, Type IV TA system","-"
"SpeciesTaxid_1680.NC_008618.1_884","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_884.pdb.gz","NO","NO","A0A087DSA3","100","99.8","100","B","",NA,"UniRef90_A0A087ACY9 ABC transporter n=269 Tax=Bifidobacterium TaxID=1678 RepID=A0A087ACY9_9BIFI",0.904,1007,0,"0","ATP-binding cassette, subfamily F, member 3",NA,NA,0,1028,"S","ABC transporter","-"
"SpeciesTaxid_1680.NC_008618.1_885","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_885.pdb.gz","NO","NO","A1A1Q0","100","99.7","100","B","",NA,"UniRef90_A0A1X2YWD7 Cation transporter n=50 Tax=Bifidobacterium TaxID=1678 RepID=A0A1X2YWD7_BIFAD",0.905,646,1.32e-206,"0","solute carrier family 30 (zinc transporter), member 9",NA,NA,6.56e-229,632,"P","Cation efflux family","-"
"SpeciesTaxid_1680.NC_008618.1_886","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_886.pdb.gz","NO","NO","A0A1X2ZH10","100","99.7","100","B","5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase ","2.1.1.14","UniRef90_A1A1Q1 Meth_synt_2 domain-containing protein n=51 Tax=Bifidobacterium TaxID=1678 RepID=A1A1Q1_BIFAA",0.984,777,2.97e-251,"0",NA,"5-methyltetrahydropteroyltriglutamate--homocysteine s-methyltransferase","uncharacterized protein yxjh",1.62e-277,758,"E","Psort location Cytoplasmic, score 8.87","2.1.1.14"
"SpeciesTaxid_1680.NC_008618.1_887","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_887.pdb.gz","NO","NO","A0A076JI64","100","99.6","100","B","4-carboxymuconolactone decarboxylase ","4.1.1.44","UniRef90_A0A076JI64 Carboxymuconolactone decarboxylase n=31 Tax=Bifidobacterium TaxID=1678 RepID=A0A076JI64_BIFAD",0.996,532,5.38e-169,"0",NA,"multispecies: carboxymuconolactone decarboxylase family protein",NA,7.51e-188,521,"S","Carboxymuconolactone decarboxylase family","4.1.1.44"
"SpeciesTaxid_1680.NC_008618.1_888","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_888.pdb.gz","NO","NO","A0A076JH14","99.4","99.4","100","C","MerR family transcriptional regulator, aldehyde-responsive regulator",NA,"UniRef90_A1A1Q3 Regulatory protein n=24 Tax=Bifidobacterium TaxID=1678 RepID=A1A1Q3_BIFAA",0.943,283,1.65e-84,"0",NA,"merr family transcriptional regulator",NA,2.59e-105,304,"K","MerR family regulatory protein","-"
"SpeciesTaxid_1680.NC_008618.1_889","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_889.pdb.gz","NO","NO","A1A1Q4","100","99.7","100","B","",NA,"UniRef90_Q9KK62 Conjugated bile acid hydrolase n=97 Tax=Bifidobacterium TaxID=1678 RepID=CBH_BIFLN",0.922,612,3.32e-195,"0","choloylglycine hydrolase [EC:3.5.1.24]",NA,NA,3.19e-237,651,"M","Linear amide C-N hydrolase, choloylglycine hydrolase family protein","3.5.1.24"
"SpeciesTaxid_1680.NC_008618.1_890","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_890.pdb.gz","NO","NO","A0A0C2YM64","100","99.7","100","B","N6-L-threonylcarbamoyladenine synthase ","2.3.1.234","UniRef90_A1A1Q5 tRNA N6-adenosine threonylcarbamoyltransferase n=50 Tax=root TaxID=1 RepID=TSAD_BIFAA",0.954,697,2.83e-224,"0","tRNA N6-adenosine threonylcarbamoyltransferase [EC:2.3.1.234]",NA,NA,1.32e-247,680,"O","Required for the formation of a threonylcarbamoyl group on adenosine at position 37 (t(6)A37) in tRNAs that read codons beginning with adenine. Is involved in the transfer of the threonylcarbamoyl moiety of threonylcarbamoyl-AMP (TC-AMP) to the N6 group of A37, together with TsaE and TsaB. TsaD likely plays a direct catalytic role in this reaction","2.3.1.234"
"SpeciesTaxid_1680.NC_008618.1_891","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_891.pdb.gz","NO","NO","A0A076JNR8","100","99.4","100","B","[ribosomal protein S18]-alanine N-acetyltransferase ","2.3.1.266","UniRef90_A7A2P2 Ribosomal-protein-alanine acetyltransferase n=30 Tax=Bifidobacterium TaxID=1678 RepID=A7A2P2_BIFAD",0.964,367,3.17e-113,"0","L-amino acid N-acyltransferase [EC:2.3.1.-]",NA,NA,2.81e-127,362,"K","FR47-like protein","2.3.1.128"
"SpeciesTaxid_1680.NC_008618.1_892","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_892.pdb.gz","NO","NO","A0A076JI69","100","99.6","100","B","tRNA threonylcarbamoyladenosine biosynthesis protein TsaB",NA,"UniRef90_A0A076JI69 Glycoprotease protein family n=21 Tax=Bifidobacterium TaxID=1678 RepID=A0A076JI69_BIFAD",0.938,505,1.33e-159,"0",NA,"multispecies: trna (adenosine(37)-n6)-threonylcarbamoyltransferase complex dimerization subunit type 1 tsab",NA,1.18e-177,495,"O","Glycoprotease family","-"
"SpeciesTaxid_1680.NC_008618.1_893","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_893.pdb.gz","NO","NO","A0A087D2X7","100","99.5","100","B","tRNA threonylcarbamoyladenosine biosynthesis protein TsaE",NA,"UniRef90_A0A0B5BGY1 t(6)A37 threonylcarbamoyladenosine biosynthesis protein TsaE n=18 Tax=Bifidobacterium TaxID=1678 RepID=A0A0B5BGY1_BIFAD",0.942,377,1.4e-116,"0",NA,"multispecies: trna (adenosine(37)-n6)-threonylcarbamoyltransferase complex atpase subunit type 1 tsae","t(6)a37 threonylcarbamoyladenosine biosynthesis protein tsae",3.78e-130,370,"S","Threonylcarbamoyl adenosine biosynthesis protein TsaE","-"
"SpeciesTaxid_1680.NC_008618.1_894","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_894.pdb.gz","NO","NO","A0A173YNC2","100","99.7","100","B","DNA polymerase III subunit delta ","2.7.7.7","UniRef90_A0A0B5BL65 DNA_pol3_delta domain-containing protein n=43 Tax=Bifidobacterium TaxID=1678 RepID=A0A0B5BL65_BIFAD",0.934,666,1.73e-213,"0",NA,"dna polymerase iii subunit delta [2.7.7.7]",NA,2.33e-237,653,"L","DNA polymerase III delta subunit","2.7.7.7"
"SpeciesTaxid_1680.NC_008618.1_895","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_895.pdb.gz","NO","NO","A0A173YKA9","100","99.8","100","B","competence protein ComEC",NA,"UniRef90_A0A076JM73 ComEC/Rec2 family competence protein n=47 Tax=Bifidobacterium TaxID=1678 RepID=A0A076JM73_BIFAD",0.922,1100,0,"0",NA,"comec/rec2 family competence protein",NA,0,1077,"S","Competence protein","-"
"SpeciesTaxid_1680.NC_008618.1_896","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_896.pdb.gz","NO","NO","A1A1R1","100","99.6","100","B","competence protein ComEA",NA,"UniRef90_A1A1R1 Uncharacterized protein n=27 Tax=Bacteria TaxID=2 RepID=A1A1R1_BIFAA",0.926,492,3.81e-155,"0","competence protein ComEA",NA,NA,1.83e-159,449,"L","Helix-hairpin-helix motif","-"
"SpeciesTaxid_1680.NC_008618.1_897","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_897.pdb.gz","NO","NO","A1A1R2","100","99.9","100","B","leucyl-tRNA synthetase ","6.1.1.4","UniRef90_A1A1R2 Leucine--tRNA ligase n=75 Tax=Bifidobacterium TaxID=1678 RepID=SYL_BIFAA",0.996,2085,0,"0","leucyl-tRNA synthetase [EC:6.1.1.4]",NA,NA,0,2031,"J","Belongs to the class-I aminoacyl-tRNA synthetase family","6.1.1.4"
"SpeciesTaxid_1680.NC_008618.1_898","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_898.pdb.gz","NO","NO","A0A173YKL7","99.7","99.7","100","B","polar amino acid transport system substrate-binding protein",NA,"UniRef90_A0A173WIZ2 ABC transporter substrate-binding protein n=42 Tax=Bifidobacterium TaxID=1678 RepID=A0A173WIZ2_BIFAD",0.898,558,5.62e-177,"0","glutamate transport system substrate-binding protein",NA,NA,5.2e-197,548,"ET","Bacterial periplasmic substrate-binding proteins","-"
"SpeciesTaxid_1680.NC_008618.1_899","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_899.pdb.gz","NO","NO","A0A3D1TMA2","100","99.7","100","B","magnesium transporter",NA,"UniRef90_A0A076JMR2 Magnesium transporter n=48 Tax=Bacteria TaxID=2 RepID=A0A076JMR2_BIFAD",0.936,622,9.16e-199,"0",NA,"multispecies: magnesium transporter cora family protein",NA,4.6e-221,610,"P","CorA-like Mg2+ transporter protein","-"
"SpeciesTaxid_1680.NC_008618.1_900","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_900.pdb.gz","NO","NO","A0A6A2RDK3","100","99.6","100","B","glucosyl-3-phosphoglycerate phosphatase ","3.1.3.85","UniRef90_A1A1R5 Possible phosphoglycerate mutase n=26 Tax=Bifidobacterium TaxID=1678 RepID=A1A1R5_BIFAA",1,548,6.11e-174,"0","phosphatase [EC:3.1.3.-]",NA,NA,1.16e-204,565,"G","Phosphoglycerate mutase family","3.1.3.85,5.4.2.11"
"SpeciesTaxid_1680.NC_008618.1_901","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_901.pdb.gz","NO","NO","A1A1R6","100","99.7","100","B","",NA,"UniRef90_A1A1R6 Uncharacterized protein n=44 Tax=Bifidobacterium TaxID=1678 RepID=A1A1R6_BIFAA",0.833,616,5.27e-196,"0",NA,"hypothetical protein",NA,1.27e-141,412,"-","-","-"
"SpeciesTaxid_1680.NC_008618.1_902","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_902.pdb.gz","NO","NO","A0A0B5BHI2","100","99.6","100","B","glucosyl-3-phosphoglycerate phosphatase ","3.1.3.85","UniRef90_A0A0B5BHI2 Histidine phosphatase family protein n=32 Tax=Bifidobacterium TaxID=1678 RepID=A0A0B5BHI2_BIFAD",1,518,4.09e-164,"0","phosphatase [EC:3.1.3.-]",NA,NA,3.86e-181,503,"G","Phosphoglycerate mutase family","3.1.3.85,5.4.2.11"
"SpeciesTaxid_1680.NC_008618.1_903","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_903.pdb.gz","NO","NO","A1A1R8","100","99.3","100","C","ribosome-associated protein",NA,"UniRef90_A0A0C2UGW2 Ribosomal silencing factor RsfS n=18 Tax=Bifidobacterium TaxID=1678 RepID=A0A0C2UGW2_BIFAD",0.932,266,6.22e-79,"0",NA,"ribosome silencing factor",NA,6e-89,261,"J","Functions as a ribosomal silencing factor. Interacts with ribosomal protein L14 (rplN), blocking formation of intersubunit bridge B8. Prevents association of the 30S and 50S ribosomal subunits and the formation of functional ribosomes, thus repressing translation","-"
"SpeciesTaxid_1680.NC_008618.1_904","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_904.pdb.gz","NO","NO","A1A1R9","100","99.8","100","B","bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase ","2.7.7.23 2.3.1.157","UniRef90_A1A1R9 Bifunctional protein GlmU n=83 Tax=Bacteria TaxID=2 RepID=GLMU_BIFAA",0.956,927,1.75e-301,"0","bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]",NA,NA,4.27e-308,842,"M","Catalyzes the last two sequential reactions in the de novo biosynthetic pathway for UDP-N-acetylglucosamine (UDP- GlcNAc). The C-terminal domain catalyzes the transfer of acetyl group from acetyl coenzyme A to glucosamine-1-phosphate (GlcN-1-P) to produce N-acetylglucosamine-1-phosphate (GlcNAc-1-P), which is converted into UDP-GlcNAc by the transfer of uridine 5- monophosphate (from uridine 5-triphosphate), a reaction catalyzed by the N-terminal domain","2.3.1.157,2.7.7.23"
"SpeciesTaxid_1680.NC_008618.1_905","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_905.pdb.gz","NO","NO","A0A087DS82","100","99.4","100","B","",NA,"UniRef90_A0A0B5BNH0 DNA-deoxyinosine glycosylase n=21 Tax=Bacteria TaxID=2 RepID=A0A0B5BNH0_BIFAD",0.992,377,1.13e-116,"0",NA,"multispecies: dna-deoxyinosine glycosylase",NA,2.82e-131,372,"L","Uracil DNA glycosylase superfamily","-"
"SpeciesTaxid_1680.NC_008618.1_906","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_906.pdb.gz","NO","NO","A1A1S1","100","99.7","100","B","L-glyceraldehyde 3-phosphate reductase ","1.1.1.-","UniRef90_A0A6N2UFX6 L-glyceraldehyde 3-phosphate reductase n=11 Tax=Bifidobacterium TaxID=1678 RepID=A0A6N2UFX6_BIFAD",0.985,698,6.26e-225,"0","L-glyceraldehyde 3-phosphate reductase [EC:1.1.1.-]",NA,NA,7.65e-250,684,"C","Aldo/keto reductase family","-"
"SpeciesTaxid_1680.NC_008618.1_907","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_907.pdb.gz","NO","NO","A0A087DS80","100","99.6","100","B","thiaminase (transcriptional activator TenA) ","3.5.99.2","UniRef90_A1A1S2 TENA_THI-4 domain-containing protein n=5 Tax=Bifidobacterium TaxID=1678 RepID=A1A1S2_BIFAA",1,497,2.46e-157,"0","thiaminase (transcriptional activator TenA) [EC:3.5.99.2]",NA,NA,2.24e-175,488,"K","Catalyzes an amino-pyrimidine hydrolysis reaction at the C5' of the pyrimidine moiety of thiamine compounds, a reaction that is part of a thiamine salvage pathway. Thus, catalyzes the conversion of 4-amino-5-aminomethyl-2-methylpyrimidine to 4-amino- 5-hydroxymethyl-2-methylpyrimidine (HMP)","3.5.99.2"
"SpeciesTaxid_1680.NC_008618.1_908","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_908.pdb.gz","NO","NO","A0A087DS79","99.5","99.5","100","B","energy-coupling factor transport system permease protein",NA,"UniRef90_A0A0C2YMA2 ABC transporter permease n=14 Tax=Bifidobacterium TaxID=1678 RepID=A0A0C2YMA2_BIFAD",0.961,415,3.59e-129,"0","energy-coupling factor transport system permease protein",NA,NA,1.2e-142,402,"S","ABC-type cobalt transport system, permease component","-"
"SpeciesTaxid_1680.NC_008618.1_909","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_909.pdb.gz","NO","NO","A0A1X2ZXP2","100","99.5","100","B","",NA,"UniRef90_A0A0M4LTM4 Cysteine hydrolase n=20 Tax=Bifidobacterium TaxID=1678 RepID=A0A0M4LTM4_BIFLI",0.899,351,2.39e-107,"0",NA,"cysteine hydrolase",NA,4.13e-107,311,"Q","Isochorismatase family","-"
"SpeciesTaxid_1680.NC_008618.1_910","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_910.pdb.gz","NO","NO","/","/","/","/","C","",NA,"UniRef90_A0A0A7I5C6 Allantoin permease n=44 Tax=Bacteria TaxID=2 RepID=A0A0A7I5C6_9BIFI",0.847,118,1.03e-28,"0",NA,"cytosine permease",NA,2.49e-32,123,"U","Permease for cytosine/purines, uracil, thiamine, allantoin","-"
"SpeciesTaxid_1680.NC_008618.1_911","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_911.pdb.gz","NO","NO","/","/","/","/","B","",NA,"UniRef90_UPI0011776F06 hypothetical protein n=1 Tax=Bifidobacterium adolescentis TaxID=1680 RepID=UPI0011776F06",1,661,1.02e-212,"0",NA,"hypothetical protein",NA,4.96e-73,236,"-","-","-"
"SpeciesTaxid_1680.NC_008618.1_912","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_912.pdb.gz","NO","NO","A0A1X2ZGG7","100","99.5","100","B","",NA,"UniRef90_A0A1X2ZGG7 Uncharacterized protein n=9 Tax=Bifidobacterium adolescentis TaxID=1680 RepID=A0A1X2ZGG7_BIFAD",0.973,418,2.01e-130,"0",NA,"hypothetical protein",NA,NA,NA,NA,NA,NA
"SpeciesTaxid_1680.NC_008618.1_913","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_913.pdb.gz","NO","NO","/","/","/","/","B","",NA,"UniRef90_UPI00006DD742 hypothetical protein n=1 Tax=Bifidobacterium adolescentis TaxID=1680 RepID=UPI00006DD742",0.871,373,1.25e-114,"0",NA,"hypothetical protein",NA,1.19e-27,117,"-","-","-"
"SpeciesTaxid_1680.NC_008618.1_914","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_914.pdb.gz","NO","NO","A0A4R0UQH1","100","99.8","100","B","",NA,"UniRef90_UPI000D57F73A IS21 family transposase n=2 Tax=Bifidobacterium bifidum TaxID=1681 RepID=UPI000D57F73A",0.954,934,1.54e-303,"0",NA,"multispecies: is21-like element isbad1 family transposase",NA,3.5e-256,714,"L","PFAM Integrase catalytic","-"
"SpeciesTaxid_1680.NC_008618.1_915","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_915.pdb.gz","NO","NO","A0A133L9J4","100","99.6","100","B","",NA,"UniRef90_A0ZZP5 AAA domain-containing protein n=43 Tax=Bacteria TaxID=2 RepID=A0ZZP5_BIFAA",0.957,525,2.29e-166,"0",NA,"multispecies: is21-like element isbad1 family helper atpase istb",NA,4.3e-182,507,"L","IstB-like ATP binding protein","-"
"SpeciesTaxid_1680.NC_008618.1_916","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_916.pdb.gz","NO","NO","/","/","/","/","B","",NA,"UniRef90_A0A1X2ZS17 Uncharacterized protein n=3 Tax=Bifidobacterium adolescentis TaxID=1680 RepID=A0A1X2ZS17_BIFAD",0.975,1148,0,"0",NA,"hypothetical protein",NA,3.28e-247,706,"-","-","-"
"SpeciesTaxid_1680.NC_008618.1_917","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_917.pdb.gz","NO","NO","/","/","/","/","B","",NA,"UniRef90_A1A1S9 Type III restriction enzyme n=2 Tax=Bifidobacterium adolescentis TaxID=1680 RepID=A1A1S9_BIFAA",0.983,425,7.19e-133,"0","NADP-dependent dehydrogenase [EC:1.1.1.-]",NA,NA,9.93e-51,183,"V","Type III restriction enzyme, res subunit","3.1.21.5"
"SpeciesTaxid_1680.NC_008618.1_918","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_918.pdb.gz","NO","NO","A1A1T0","100","99.9","100","B","",NA,"UniRef90_A1A1T0 Uncharacterized protein n=5 Tax=Bifidobacterium adolescentis TaxID=1680 RepID=A1A1T0_BIFAA",0.923,1349,0,"0","Herpesviridae large tegument protein deneddylase [EC:3.4.19.12 3.4.22.-]",NA,NA,3.56e-132,413,"S","Domain of unknown function (DUF4839)","-"
"SpeciesTaxid_1680.NC_008618.1_919","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_919.pdb.gz","NO","NO","/","/","/","/","B","",NA,"UniRef90_A1A1T1 Uncharacterized protein n=4 Tax=Bifidobacterium adolescentis TaxID=1680 RepID=A1A1T1_BIFAA",0.977,1489,0,"0",NA,"duf262 domain-containing hnh endonuclease family protein",NA,0,1271,"S","Protein of unknown function (DUF1524)","-"
"SpeciesTaxid_1680.NC_008618.1_920","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_920.pdb.gz","NO","NO","A0A1X3A7D5","97.8","99.4","100","B","",NA,"UniRef90_A0A1X3A7D5 Uncharacterized protein n=1 Tax=Bifidobacterium adolescentis TaxID=1680 RepID=A0A1X3A7D5_BIFAD",0.966,368,1.68e-113,"0",NA,NA,NA,NA,NA,NA,NA,NA
"SpeciesTaxid_1680.NC_008618.1_921","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_921.pdb.gz","NO","NO","A0A1X3A7J7","99.4","99.7","100","B","exopolysaccharide production protein ExoZ",NA,"UniRef90_A1A1T2 Putative conserved integral membrane protein n=54 Tax=Terrabacteria group TaxID=1783272 RepID=A1A1T2_BIFAA",0.948,655,2.05e-209,"0",NA,"acyltransferase",NA,1.02e-237,655,"I","transferase activity, transferring acyl groups other than amino-acyl groups","-"
"SpeciesTaxid_1680.NC_008618.1_922","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_922.pdb.gz","NO","NO","A0A1X2ZGU5","100","99.3","100","C","",NA,"UniRef90_A1A1T3 N-acetyltransferase domain-containing protein n=18 Tax=Bifidobacterium TaxID=1678 RepID=A1A1T3_BIFAA",1,305,2.43e-92,"0",NA,"multispecies: gnat family n-acetyltransferase",NA,5.01e-103,297,"Q","Acetyltransferase (GNAT) domain","-"
"SpeciesTaxid_1680.NC_008618.1_923","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_923.pdb.gz","NO","NO","A0A3D1TMX0","98.9","99.5","100","B","",NA,"UniRef90_A0A076JI85 PIN domain-containing protein n=19 Tax=Bifidobacterium TaxID=1678 RepID=A0A076JI85_BIFAD",0.95,367,3.65e-113,"0",NA,"pin domain-containing protein",NA,3.53e-127,362,"S","PIN domain","-"
"SpeciesTaxid_1680.NC_008618.1_924","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_924.pdb.gz","NO","NO","A0A087DRV9","100","99.3","100","C","",NA,"UniRef90_R5H0N3 DNA binding domain excisionase family n=18 Tax=Bifidobacterium TaxID=1678 RepID=R5H0N3_9BIFI",0.944,295,6.04e-89,"0",NA,"multispecies: helix-turn-helix domain-containing protein",NA,7.97e-43,143,"S","Helix-turn-helix domain","-"
"SpeciesTaxid_1680.NC_008618.1_925","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_925.pdb.gz","NO","NO","A7A2S8","100","99.1","100","C","",NA,"UniRef90_A0A0G9MD66 Uncharacterized protein n=14 Tax=Bifidobacterium TaxID=1678 RepID=A0A0G9MD66_BIFAD",0.964,229,8.54e-67,"0",NA,"hypothetical protein",NA,NA,NA,NA,NA,NA
"SpeciesTaxid_1680.NC_008618.1_926","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_926.pdb.gz","NO","NO","A0A076JM88","100","98.4","100","C","",NA,"UniRef90_A0A076JM88 Uncharacterized protein n=3 Tax=Bifidobacterium adolescentis TaxID=1680 RepID=A0A076JM88_BIFAD",0.995,128,9.56e-33,"0",NA,NA,NA,NA,NA,NA,NA,NA
"SpeciesTaxid_1680.NC_008618.1_927","SpeciesTaxid_1680","Bifidobacterium_adolescentis","SpeciesTaxid_1680.NC_008618.1_927.pdb.gz","NO","NO","A0A0B5BHJ8","100","97.6","100","C","",NA,"UniRef90_A0A0B5BHJ8 Uncharacterized protein n=12 Tax=Bifidobacterium TaxID=1678 RepID=A0A0B5BHJ8_BIFAD",0.954,83,3.24e-17,"0",NA,NA,NA,4.5e-17,74.7,"S","Psort location Extracellular, score 8.82","-"
